体育综合⚽,#genre#
CCTV-5体育,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV5體育,rtsp://150.138.8.132/PLTV/88888888/224/3221227138/415322482.smil
CCTV-5+体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV5+體育賽事,rtsp://150.138.8.132/PLTV/88888888/224/3221226143/10000100000000060000000003071273_0.smil
风云足球,http://113.57.111.4:1111/tsfile/live/1033_1.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8#http://124.128.73.58:9901/tsfile/live/1001_1.m3u8#http://fangke.blueswords.com:9901/tsfile/live/0111_1.m3u8
山东体育B,http://150.138.8.132/00/SNM/CHANNEL00000315/index.m3u8
魅力足球S,rtsp://150.138.8.132/PLTV/88888888/224/3221227123/443309050.smil
魅力足球A,http://150.138.8.132/00/SNM/CHANNEL00002021/index.m3u8


🍓央视频道🏡,#genre#
CCTV-1,https://www.freetv.top/migu/608807420.m3u8?migutoken=00660700f7c69a68a627edcda7a6ce230da30391052d190f05435c1a16b3798035e1971569c231707815a94130e1bcd320d3fe1cbd9ef5dbe2846d3676f010079c6b58ec40878fc3113f101784#http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#rtsp://150.138.8.132/PLTV/88888888/224/3221226103/10000100000000060000000002902003_0.smil
CCTV-2,http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#rtsp://150.138.8.132/PLTV/88888888/224/3221226173/10000100000000060000000003110715_0.smil
CCTV-3,https://www.freetv.top/migu/624878271.m3u8?migutoken=790825c66fc1a6ebf2d1e13e0e40a1b123298b44285a21c279a1465cd45a62991325aa1281f2f777d7916df94103f13b5ee9dae88a79a8856ad62e1c954218f9c1124a814c21c6b721df394d28#rtsp://150.138.8.132/PLTV/88888888/224/3221227134/415322505.smil
CCTV5体育,https://www.freetv.top/migu/641886683.m3u8?migutoken=e50811b4eab01d204418c09a1c09188fada259eea0691fb70ca1bcea621cbd02353c85884ab363ea51d64c2f7a28564970e7a766b1c36e4bd25223a584d5b080709e2518658729b4df67b80723#rtsp://150.138.8.132/PLTV/88888888/224/3221227138/415322482.smil
CCTV5+体育赛事,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#https://www.freetv.top/migu/641886773.m3u8?migutoken=603ab93d2d46b9f935e370cdf46d481eeecb3c5b95ad447318afe147a49a8ac26fdc82ec5f974df43367bbaf9f090bf299b2cea45072871c7f22e1b5e4bf3668739b6c76e96daaf0ffc01cb04f
CCTV6电影,https://www.freetv.top/migu/624878396.m3u8?migutoken=be2308cbe6afbccb18545cd8aacae77efab294de95c92f4dd8f921505e953d7caeaed8c0dca9678434a1603275be6fd52c753139997b18d56977b1cd0869672dcaa8f2e38a595f2ff3b27c565e#rtsp://150.138.8.132/PLTV/88888888/224/3221227213/432747447.smil#http://bg5aqv.top:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-8,http://itv.nctv.top:35455/itv/1000000005000265008.m3u8?cdn=ystenlive#rtsp://150.138.8.132/PLTV/88888888/224/3221227031/410248915.smil
CCTV8电视剧,https://www.freetv.top/migu/624878356.m3u8?migutoken=617ad3853b64c3a4fc17b1db5aa1ce42e0b9dc2fc6241e6a3d5f5c056fec0681e9c75906183021baad3bc7c9c5e09f9657969a4d079090399577c7190f25b0441c82804043bc2ec61f60e6c49d#http://bg5aqv.top:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9纪录,http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0#https://www.freetv.top/migu/673168140.m3u8?migutoken=9797c3a0be5efebd117c940ca5c57e4dd6f44fdecaddd3b7b9cb690d9a1b0f5887db30904dd1b923cb072cd569ee2a854d12d08071eab38d3d6bae6323200a2f0d0fda1dfbef8b9c589f9c5b55
CCTV10科教,http://221.226.4.10:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0#https://www.freetv.top/migu/624878405.m3u8?migutoken=4931eda9d7a81d6caa4fec6e50c748cc4f297528339847ff1ba052474e6a4a7e15610c073ac47194e802e8c06f303b0ed2456f5f6e76cd5deccd757b72758f2e317a1bed782dfad8c501caf63a
CCTV11戏曲,https://www.freetv.top/migu/667987558.m3u8?migutoken=06d6e82a6a399340cd5d93d9000abdd5887c50ad8a79f49fbcbe7ee1d931254dd2cc6b76185751869838d89c710d209b490656ab46bb2c382f9e84c299c3ce576b3b9f368d7c7b72894049a9f2#rtsp://150.138.8.132/PLTV/88888888/224/3221226826/395256095.smil
CCTV12,http://221.226.4.10:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://itv.nctv.top:35455/gaoma/cctv13.m3u8
CCTV-13,http://bg5aqv.top:35455/gaoma/cctv13.m3u8
CCTV-16,http://itv.nctv.top:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16,http://bg5aqv.top:35455/itv/1000000006000233002.m3u8?cdn=ystenlive

